Object_Type,Name,Latitude,Longitude
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a Circular type,138.6008326,-34.92162734
Bike Rack,Bike Rack on KING WILLIAM ST ASC (1301); it's a U Shape type,138.5996426,-34.92247088
Bike Rack,Bike Rack on CHILDERS ST (1174); it's a U Shape type,138.5946379,-34.90327167
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5955356,-34.90542526
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5954938,-34.90530299
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5958272,-34.90621792
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5960648,-34.90687251
Bike Rack,Bike Rack on ARCHER ST (1117); it's a U Shape type,138.5967804,-34.90727332
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5961752,-34.90716494
Bike Rack,Bike Rack on KERMODE ST (1299); it's a U Shape type,138.6005007,-34.91224001
Bike Rack,Bike Rack on KING WILLIAM RD DSC (1300); it's a U Shape type,138.5986501,-34.91464868
Bike Rack,Bike Rack on STANLEY ST (1444); it's a U Shape type,138.6091012,-34.90450214
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6047229,-34.90856406
Bike Rack,Bike Rack on MACKINNON PDE (1321); it's a U Shape type,138.6079116,-34.90827216
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6088135,-34.90631229
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a U Shape type,138.6056801,-34.9076983
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a U Shape type,138.6058506,-34.9075991
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a Circular type,138.606233,-34.90799616
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6056279,-34.90806241
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6053567,-34.90803512
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a U Shape type,138.6056467,-34.90766059
Bike Rack,Bike Rack on BARTON TCE EAST (1520); it's a U Shape type,138.5952182,-34.9032964
Bike Rack,Bike Rack on BARTON TCE EAST (1520); it's a U Shape type,138.5951651,-34.90330265
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.608859,-34.90629195
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6089043,-34.90626922
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6082039,-34.90666525
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6081556,-34.90668269
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6081264,-34.9067005
Bike Rack,Bike Rack on MELBOURNE ST (1336); it's a U Shape type,138.6056237,-34.90807022
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a U Shape type,138.6058811,-34.90758642
Bike Rack,Bike Rack on JERNINGHAM ST (1293); it's a U Shape type,138.6059102,-34.90757645
Bike Rack,Bike Rack on TYNTE ST (1476); it's a U Shape type,138.5940157,-34.90648648
Bike Rack,Bike Rack on TYNTE ST (1476); it's a Circular type,138.5955847,-34.90614197
Bike Rack,Bike Rack on ARCHER ST (1117); it's a U Shape type,138.5968393,-34.90726039
Bike Rack,Bike Rack on KERMODE ST (1299); it's a Steel Rail type,138.6005429,-34.91226868
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925597,-34.92463551
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925943,-34.92463439
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925608,-34.92459641
Bike Rack,Bike Rack on CURRIE ST ASC (1193); it's a U Shape type,138.5925937,-34.92458101
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5930268,-34.92762262
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5930573,-34.92762323
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5930905,-34.92761974
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5929426,-34.92762519
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5917712,-34.92768153
Bike Rack,Bike Rack on FRANKLIN ST (1226); it's a U Shape type,138.5917286,-34.92768081
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a Circular type,138.606248,-34.93034708
Bike Rack,Bike Rack on GILBERT ST (1241); it's a Steel Slot type,138.5973319,-34.93438487
Bike Rack,Bike Rack on GILBERT ST (1241); it's a U Shape type,138.5993253,-34.93429334
Bike Rack,Bike Rack on KING WILLIAM ST_DSC (2007); it's a U Shape type,138.6002944,-34.93551762
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5946722,-34.90305112
Bike Rack,Bike Rack on OCONNELL ST DSC (1366); it's a U Shape type,138.5946625,-34.90301863
Bike Rack,Bike Rack on CHILDERS ST (1174); it's a Circular type,138.5945885,-34.9032796
Bike Rack,Bike Rack on STURT_ST (2078); it's a U Shape type,138.5931033,-34.93338902
Bike Rack,Bike Rack on STURT_ST (2078); it's a U Shape type,138.5930788,-34.93338987
Bike Rack,Bike Rack on WRIGHT_ST (2088); it's a U Shape type,138.5910841,-34.93203407
Bike Rack,Bike Rack on MORPHETT ST 1 (1350); it's a U Shape type,138.5942064,-34.93094196
Bike Rack,Bike Rack on MORPHETT ST 1 (1350); it's a U Shape type,138.5942045,-34.93092375
Bike Rack,Bike Rack on MORPHETT ST 1 (1350); it's a U Shape type,138.5942067,-34.93097493
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6110386,-34.92526501
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6108871,-34.92525906
Bike Rack,Bike Rack on FLINDERS ST (1225); it's a U Shape type,138.6092205,-34.92679755
Bike Rack,Bike Rack on CALIFORNIA ST STH (1586); it's a U Shape type,138.596536,-34.92988849
Bike Rack,Bike Rack on CALIFORNIA ST STH (1586); it's a U Shape type,138.5965345,-34.92993786
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5974376,-34.93015065
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5979061,-34.93012152
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5970765,-34.93034219
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5965772,-34.93040818
Bike Rack,Bike Rack on MORPHETT ST 1 (1350); it's a U Shape type,138.5941577,-34.93055347
Bike Rack,Bike Rack on MORPHETT ST 1 (1350); it's a U Shape type,138.5941639,-34.9305856
Bike Rack,Bike Rack on MOONTA ST (1346); it's a U Shape type,138.5957921,-34.93024594
Bike Rack,Bike Rack on GOUGER ST (1250); it's a U Shape type,138.5960628,-34.93025147
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954402,-34.92801701
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954449,-34.92791348
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954619,-34.92775097
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5954808,-34.92783007
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5983658,-34.92857243
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5983965,-34.92857102
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975555,-34.92862009
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975453,-34.92861989
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975776,-34.92861985
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975662,-34.92861996
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5953025,-34.92866041
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5953382,-34.92861401
Bike Rack,Bike Rack on BOWEN ST (1145); it's a Unknown type,138.5952552,-34.92865746
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975088,-34.9288927
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5975227,-34.92889332
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5974765,-34.92889308
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5974431,-34.92889443
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5974517,-34.92889393
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5962561,-34.92895472
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5962823,-34.92895187
